Age,G,GS,Cmp,Att,Yds,TD,Int,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Fmb,FL,TD,2PM,2PP,FantPt,PPR,DKPt,FDPt,VBD,PosRank,OvRank
27,16,10,0,0,0,0,0,0,0,0,0,24,21,263,12.52,1,0,0,1,0,0,32,53.3,56.3,42.8,0,40,0
23,6,2,0,0,0,0,0,66,266,4.03,0,15,12,98,8.17,0,3,2,0,0,0,32,44.4,49.4,38.4,0,83,0
30,16,8,0,0,0,0,0,6,8,1.33,4,17,12,61,5.08,0,0,0,4,0,0,31,42.9,42.9,36.9,0,42,0
24,15,1,0,0,0,0,0,51,176,3.45,1,22,14,89,6.36,0,2,1,1,0,0,31,44.5,48.5,37.5,0,85,0
28,14,11,0,0,0,0,0,0,0,0,0,43,24,305,12.71,0,0,0,0,0,0,31,54.5,57.5,42.5,0,43,0
26,12,7,0,0,0,0,0,2,10,5,0,47,28,304,10.86,0,1,0,0,0,0,31,59.4,62.4,45.4,0,115,0
28,16,4,3,7,64,0,1,37,196,5.3,2,7,3,4,1.33,0,1,1,2,0,0,31,33.6,38.6,33.1,0,118,0
26,15,3,0,0,0,0,0,0,0,0,0,26,19,190,10,2,0,0,2,0,0,31,50,53,40.5,0,116,0
26,15,5,0,0,0,0,0,0,0,0,0,37,24,250,10.42,1,0,0,1,0,0,31,55,58,43,0,41,0
28,12,0,0,0,0,0,0,0,0,0,0,19,10,188,18.8,2,0,0,2,0,0,31,40.8,43.8,35.8,0,117,0
32,5,2,53,76,515,3,2,13,3,0.23,0,1,1,8,8,0,4,0,0,0,0,30,30.7,35.7,32.2,0,45,0
32,16,11,0,0,0,0,0,0,0,0,0,12,11,117,10.64,3,0,0,3,0,0,30,40.7,43.7,35.2,0,45,0
25,9,9,0,0,0,0,0,0,0,0,0,32,26,242,9.31,1,0,0,1,0,0,30,56.2,59.2,43.2,0,44,0
24,14,0,0,0,0,0,0,0,0,0,0,41,26,215,8.27,1,1,0,1,1,0,30,55.5,58.5,42.5,0,119,0
23,12,0,0,0,0,0,0,36,191,5.31,1,11,9,56,6.22,0,1,1,1,0,0,29,37.7,41.7,33.2,0,86,0
29,12,3,0,0,0,0,0,7,41,5.86,0,24,12,186,15.5,1,0,0,1,0,0,29,40.7,43.7,34.7,0,120,0
27,7,3,0,1,0,0,0,1,2,2,0,42,31,224,7.23,1,1,0,1,0,0,29,59.6,62.6,44.1,0,121,0
23,12,0,0,0,0,0,0,0,0,0,0,20,19,225,11.84,1,0,0,1,0,0,29,47.5,50.5,38,0,47,0
30,16,11,0,0,0,0,0,1,0,0,0,21,15,165,11,2,0,0,2,0,0,29,43.5,46.5,36,0,46,0
22,4,4,0,0,0,0,0,0,0,0,0,14,8,156,19.5,2,0,0,2,0,0,28,35.6,38.6,31.6,0,49,0
27,11,1,0,0,0,0,0,52,250,4.81,0,19,11,26,2.36,0,1,0,0,0,0,28,38.6,41.6,33.1,0,87,0
24,8,2,0,0,0,0,0,0,0,0,0,20,9,100,11.11,3,0,0,3,0,0,28,37,40,32.5,0,48,0
22,14,6,0,0,0,0,0,0,0,0,0,38,16,217,13.56,1,0,0,1,0,0,28,43.7,46.7,35.7,0,122,0
22,2,1,20,31,266,2,0,5,19,3.8,1,0,0,0,0,0,0,0,1,0,0,27,26.5,26.5,26.5,0,47,0
27,8,2,0,0,0,0,0,3,23,7.67,0,27,19,266,14,0,1,1,0,0,0,27,45.9,49.9,36.4,0,125,0
30,16,16,0,0,0,0,0,0,0,0,0,27,19,210,11.05,1,0,0,1,0,0,27,46,49,36.5,0,50,0
32,3,2,34,54,372,3,3,10,63,6.3,0,0,0,0,0,0,1,0,0,0,0,27,27.2,33.2,30.2,0,46,0
25,16,0,0,0,0,0,0,5,17,3.4,0,25,19,196,10.32,1,0,0,1,0,0,27,46.3,49.3,36.8,0,123,0
22,13,2,0,0,0,0,0,0,0,0,0,28,19,210,11.05,1,0,0,1,0,0,27,46,49,36.5,0,124,0
26,7,2,0,0,0,0,0,0,0,0,0,10,8,87,10.88,3,0,0,3,0,0,27,34.7,34.7,30.7,0,51,0
28,16,0,0,0,0,0,0,8,91,11.38,2,3,3,13,4.33,1,1,1,3,0,0,26,29.4,30.4,27.9,0,88,0
27,10,5,0,0,0,0,0,0,0,0,0,27,16,199,12.44,1,1,0,1,0,0,26,41.9,44.9,33.9,0,127,0
32,6,5,0,0,0,0,0,0,0,0,0,16,12,135,11.25,2,0,0,2,0,0,26,37.5,40.5,31.5,0,128,0
30,16,1,0,0,0,0,0,2,20,10,0,17,10,79,7.9,1,3,1,3,0,0,26,35.9,36.9,30.9,0,126,0
25,9,1,0,0,0,0,0,0,0,0,0,13,7,133,19,2,0,0,2,0,0,25,32.3,35.3,28.8,0,53,0
27,16,0,0,0,0,0,0,0,0,0,0,22,14,133,9.5,2,1,0,2,0,0,25,39.3,42.3,32.3,0,129,0
28,16,11,0,0,0,0,0,0,0,0,0,24,16,185,11.56,1,0,0,1,0,0,25,40.5,43.5,32.5,0,54,0
26,6,2,0,0,0,0,0,0,0,0,0,16,11,190,17.27,1,0,0,1,0,0,25,36,39,30.5,0,130,0
31,16,4,0,0,0,0,0,0,0,0,0,11,10,73,7.3,3,0,0,3,0,0,25,35.3,35.3,30.3,0,52,0
26,16,1,0,0,0,0,0,44,127,2.89,1,12,9,60,6.67,0,0,0,1,0,0,25,33.7,36.7,29.2,0,89,0
24,14,3,0,0,0,0,0,0,0,0,0,28,13,160,12.31,1,0,0,1,1,0,24,37,40,30.5,0,131,0
28,4,2,0,0,0,0,0,0,0,0,0,19,15,179,11.93,1,0,0,1,0,0,24,38.9,41.9,31.4,0,55,0
24,10,7,0,0,0,0,0,1,9,9,0,46,17,171,10.06,1,0,0,1,0,0,24,41,44,32.5,0,132,0
26,16,6,0,0,0,0,0,0,0,0,0,25,17,225,13.24,0,0,0,0,0,0,23,39.5,42.5,31,0,57,0
23,13,2,0,0,0,0,0,0,0,0,0,14,9,130,14.44,1,2,1,2,0,0,23,32,36,27.5,0,133,0
30,16,3,0,0,0,0,0,0,0,0,0,25,19,170,8.95,1,0,0,1,0,0,23,42,45,32.5,0,56,0
25,14,2,0,0,0,0,0,0,0,0,0,14,9,97,10.78,2,0,0,2,0,0,22,30.7,30.7,26.2,0,134,0
25,12,0,0,0,0,0,0,1,0,0,0,23,13,163,12.54,1,0,0,1,0,0,22,35.3,38.3,28.8,0,58,0
23,10,1,0,0,0,0,0,0,0,0,0,19,12,150,12.5,1,1,0,1,0,0,21,33,36,27,0,136,0
24,7,6,0,0,0,0,0,0,0,0,0,31,15,154,10.27,1,0,0,1,0,0,21,36.4,39.4,28.9,0,135,0
25,16,13,0,0,0,0,0,0,0,0,0,37,23,213,9.26,0,0,0,0,0,0,21,44.3,47.3,32.8,0,60,0
30,15,1,0,0,0,0,0,0,0,0,0,8,5,90,18,2,0,0,2,0,0,21,26,26,23.5,0,62,0
25,16,0,0,0,0,0,0,2,0,0,0,19,10,149,14.9,1,0,0,1,0,0,21,30.9,33.9,25.9,0,137,0
39,4,3,60,110,539,1,4,5,32,6.4,0,0,0,0,0,0,0,0,0,0,0,21,20.8,27.8,24.8,0,48,0
26,14,9,0,0,0,0,0,0,0,0,0,38,24,214,8.92,0,0,0,0,0,0,21,45.4,48.4,33.4,0,59,0
24,13,6,0,0,0,0,0,3,8,2.67,0,17,16,143,8.94,1,0,0,1,0,0,21,37.1,40.1,29.1,0,61,0
29,16,2,0,0,0,0,0,0,0,0,0,25,14,117,8.36,1,0,0,1,1,0,20,33.7,36.7,26.7,0,139,0
25,14,4,0,0,0,0,0,1,7,7,0,25,22,216,9.82,0,5,1,0,0,0,20,42.3,46.3,31.3,0,138,0
34,7,2,0,0,0,0,0,0,0,0,0,23,11,136,12.36,1,0,0,1,0,0,20,30.6,33.6,25.1,0,140,0
29,13,3,0,0,0,0,0,0,0,0,0,24,10,100,10,1,0,0,1,1,0,18,28,31,23,0,141,0
23,16,7,0,0,0,0,0,0,0,0,0,32,22,202,9.18,0,1,1,0,0,0,18,40.2,44.2,29.2,0,63,0
25,16,7,0,0,0,0,0,2,5,2.5,0,10,8,112,14,1,0,0,1,0,0,18,25.7,28.7,21.7,0,90,0
28,16,6,0,0,0,0,0,9,41,4.56,0,10,5,14,2.8,2,0,0,2,0,0,18,22.5,22.5,20,0,91,0
28,1,1,15,25,232,2,0,3,-2,-0.67,0,0,0,0,0,0,0,0,0,0,0,17,17.1,17.1,17.1,0,49,0
24,9,0,0,0,0,0,0,1,14,14,0,4,2,94,47,1,0,0,1,0,0,17,18.8,18.8,17.8,0,144,0
26,16,6,0,0,0,0,0,3,22,7.33,0,29,20,167,8.35,0,1,1,0,0,0,17,36.9,40.9,26.9,0,143,0
26,16,0,1,1,21,0,0,1,2,2,0,15,11,101,9.18,0,0,0,1,0,0,17,28.1,31.1,22.6,0,142,0
23,15,4,0,0,0,0,0,0,0,0,0,24,14,114,8.14,1,0,0,1,0,0,17,31.4,34.4,24.4,0,64,0
29,13,12,0,0,0,0,0,0,0,0,0,36,21,184,8.76,0,1,1,0,0,0,16,37.4,41.4,26.9,0,65,0
24,5,0,0,0,0,0,0,1,-2,-2,0,8,6,102,17,1,0,0,1,0,0,16,22,25,19,0,147,0
26,5,2,0,0,0,0,0,0,0,0,0,11,8,103,12.88,1,0,0,1,0,0,16,24.3,27.3,20.3,0,145,0
26,15,1,0,0,0,0,0,0,0,0,0,11,9,102,11.33,1,0,0,1,0,0,16,25.2,28.2,20.7,0,66,0
30,16,1,0,0,0,0,0,1,2,2,0,9,8,96,12,1,0,0,1,0,0,16,23.8,23.8,19.8,0,92,0
29,13,6,0,0,0,0,0,0,0,0,0,30,17,161,9.47,0,0,0,0,0,0,16,33.1,36.1,24.6,0,146,0
22,11,0,0,0,0,0,0,0,0,0,0,32,14,174,12.43,0,1,1,0,0,0,15,29.4,33.4,22.4,0,149,0
23,10,0,0,0,0,0,0,20,157,7.85,0,2,1,9,9,0,1,1,0,0,0,15,15.6,19.6,15.1,0,95,0
26,6,1,0,0,0,0,0,0,0,0,0,10,9,114,12.67,1,1,1,1,0,0,15,24.4,28.4,19.9,0,148,0
25,9,1,0,0,0,0,0,9,16,1.78,0,10,8,78,9.75,1,0,0,1,0,0,15,23.4,23.4,19.4,0,94,0
26,12,7,0,0,0,0,0,0,0,0,0,10,8,86,10.75,1,0,0,1,0,0,15,22.6,22.6,18.6,0,69,0
31,15,10,0,0,0,0,0,0,0,0,0,9,9,91,10.11,1,0,0,1,0,0,15,24.1,24.1,19.6,0,67,0
26,5,5,0,0,0,0,0,0,0,0,0,19,11,90,8.18,1,0,0,1,0,0,15,26,26,20.5,0,68,0
26,16,4,0,0,0,0,0,0,0,0,0,14,9,86,9.56,1,0,0,1,0,0,15,23.6,23.6,19.1,0,70,0
22,7,1,0,0,0,0,0,0,0,0,0,10,5,91,18.2,1,0,0,1,0,0,15,20.1,20.1,17.6,0,150,0
24,13,0,0,0,0,0,0,27,154,5.7,0,0,0,0,0,0,0,0,0,0,0,15,15.4,18.4,15.4,0,93,0
24,16,2,0,0,0,0,0,9,15,1.67,2,1,1,5,5,0,0,0,2,0,0,14,15,15,14.5,0,97,0
28,9,0,0,0,0,0,0,19,69,3.63,1,4,3,15,5,0,0,0,1,0,0,14,17.4,17.4,15.9,0,96,0
21,5,1,0,0,0,0,0,0,0,0,0,15,10,143,14.3,0,0,0,0,0,0,14,24.3,27.3,19.3,0,152,0
25,6,1,35,57,320,1,3,5,31,6.2,0,0,0,0,0,0,1,0,0,0,0,14,13.9,19.9,16.9,0,50,0
24,8,3,0,0,0,0,0,0,0,0,0,24,11,80,7.27,1,0,0,1,0,0,14,25,25,19.5,0,153,0
21,9,0,0,0,0,0,0,23,44,1.91,1,9,7,33,4.71,0,0,0,1,0,0,14,20.7,20.7,17.2,0,98,0
23,3,2,0,0,0,0,0,1,0,0,0,10,9,75,8.33,1,0,0,1,0,0,14,22.5,22.5,18,0,154,0
23,13,3,0,0,0,0,0,0,0,0,0,20,13,144,11.08,0,0,0,0,0,0,14,27.4,30.4,20.9,0,151,0
24,16,1,0,0,0,0,0,0,0,0,0,6,4,77,19.25,1,0,0,1,0,0,14,17.7,17.7,15.7,0,71,0
31,3,3,50,80,400,2,4,2,7,3.5,0,0,0,0,0,0,3,2,0,0,0,13,12.7,21.7,16.7,0,52,0
28,16,2,0,0,0,0,0,0,0,0,0,12,7,67,9.57,1,0,0,1,0,0,13,19.7,19.7,16.2,0,73,0
25,13,4,0,0,0,0,0,0,0,0,0,7,5,74,14.8,1,0,0,1,0,0,13,18.4,18.4,15.9,0,72,0
24,4,2,44,81,296,1,7,10,50,5,1,0,0,0,0,0,0,0,1,0,0,13,12.8,19.8,19.8,0,51,0
23,6,1,0,0,0,0,0,1,4,4,0,17,11,129,11.73,0,0,0,0,0,0,13,24.3,27.3,18.8,0,155,0
24,6,4,0,0,0,0,0,0,0,0,0,6,5,48,9.6,1,0,0,1,1,0,13,17.8,17.8,15.3,0,100,0
23,6,0,0,0,0,0,0,13,44,3.38,0,3,3,27,9,1,0,0,1,0,0,13,16.1,16.1,14.6,0,99,0
28,8,1,0,0,0,0,0,0,0,0,0,10,6,60,10,1,0,0,1,0,0,12,18,18,15,0,156,0
29,10,0,0,0,0,0,0,29,80,2.76,1,4,3,18,6,0,2,2,1,0,0,12,14.8,16.8,13.3,0,101,0
22,11,7,0,0,0,0,0,0,0,0,0,17,12,116,9.67,0,0,0,0,0,0,12,23.6,26.6,17.6,0,74,0
27,4,0,0,0,0,0,0,0,0,0,0,5,3,48,16,1,0,0,1,0,0,11,13.8,13.8,12.3,0,76,0
29,2,0,15,21,174,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,11,11,11,0,53,0
27,5,1,0,0,0,0,0,13,40,3.08,0,12,9,67,7.44,0,0,0,0,0,0,11,19.7,19.7,15.2,0,102,0
31,15,1,0,0,0,0,0,2,12,6,0,6,6,40,6.67,0,2,0,1,0,0,11,17.2,17.2,14.2,0,157,0
26,7,3,0,0,0,0,0,2,10,5,0,3,3,60,20,1,1,1,1,0,0,11,14,15,12.5,0,158,0
26,16,4,0,0,0,0,0,0,0,0,0,5,2,52,26,1,0,0,1,0,0,11,13.2,13.2,12.2,0,75,0
24,2,1,0,0,0,0,0,21,79,3.76,0,5,3,21,7,0,0,0,0,0,0,10,13,13,11.5,0,105,0
22,4,0,0,0,0,0,0,27,74,2.74,0,3,2,27,13.5,0,0,0,0,0,0,10,12.1,12.1,11.1,0,104,0
29,6,1,0,0,0,0,0,1,-3,-3,0,13,10,98,9.8,0,0,0,0,0,0,10,19.5,19.5,14.5,0,159,0
26,3,3,0,0,0,0,0,1,-4,-4,0,14,12,79,6.58,0,1,0,0,1,0,10,21.5,21.5,15.5,0,161,0
24,16,9,0,0,0,0,0,0,0,0,0,9,5,41,8.2,1,0,0,1,0,0,10,15.1,15.1,12.6,0,77,0
25,5,0,0,0,0,0,0,1,6,6,0,5,3,29,9.67,1,1,0,1,0,0,10,12.5,12.5,11,0,160,0
26,4,0,0,0,0,0,0,1,21,21,0,6,6,75,12.5,0,0,0,0,0,0,10,15.6,15.6,12.6,0,78,0
25,10,0,0,0,0,0,0,30,115,3.83,0,1,1,9,9,0,1,1,0,0,0,10,11.4,15.4,10.9,0,103,0
27,3,0,0,0,0,0,0,2,-1,-0.5,0,3,2,37,18.5,1,0,0,1,0,0,10,11.6,11.6,10.6,0,106,0
23,3,3,0,0,0,0,0,0,0,0,0,13,8,85,10.63,0,0,0,0,0,0,9,16.5,16.5,12.5,0,80,0
22,1,0,0,0,0,0,0,7,-1,-0.14,0,2,2,28,14,1,1,0,1,0,0,9,10.7,10.7,9.7,0,109,0
26,2,2,0,0,0,0,0,14,68,4.86,0,7,5,23,4.6,0,0,0,0,0,0,9,14.1,14.1,11.6,0,108,0
25,15,2,0,0,0,0,0,6,8,1.33,0,15,11,85,7.73,0,0,0,0,0,0,9,20.3,20.3,14.8,0,107,0
23,11,0,0,1,0,0,1,0,0,0,0,10,9,105,11.67,0,0,0,0,0,0,9,17.5,21.5,14,0,110,0
26,9,0,0,0,0,0,0,0,0,0,0,8,4,92,23,0,0,0,0,0,0,9,13.2,13.2,11.2,0,162,0
28,14,8,0,0,0,0,0,0,0,0,0,19,13,87,6.69,0,0,0,0,0,0,9,21.7,21.7,15.2,0,79,0
23,11,2,0,0,0,0,0,1,1,1,0,11,8,82,10.25,0,1,0,0,0,0,8,16.3,16.3,12.3,0,163,0
24,8,1,0,0,0,0,0,1,5,5,0,8,5,71,14.2,0,0,0,0,0,0,8,12.6,12.6,10.1,0,164,0
23,16,3,0,0,0,0,0,0,0,0,0,7,5,77,15.4,0,0,0,0,0,0,8,12.7,12.7,10.2,0,82,0
28,11,2,0,0,0,0,0,0,0,0,0,8,3,17,5.67,1,0,0,1,0,0,8,10.7,10.7,9.2,0,81,0
25,14,3,0,0,0,0,0,7,25,3.57,0,9,8,50,6.25,0,0,0,0,0,0,8,15.5,15.5,11.5,0,111,0
27,12,3,1,1,15,0,0,0,0,0,0,17,12,77,6.42,0,0,0,0,0,0,8,20.3,20.3,14.3,0,54,0
21,14,0,0,0,0,0,0,14,34,2.43,0,8,5,41,8.2,0,0,0,0,0,0,8,12.5,12.5,10,0,112,0
35,2,2,42,70,465,0,4,1,-1,-1,0,0,0,0,0,0,3,2,0,0,0,7,6.5,15.5,10.5,0,56,0
29,9,0,0,0,0,0,0,19,71,3.74,0,1,1,3,3,0,1,0,0,0,0,7,8.4,8.4,7.9,0,113,0
27,10,4,0,0,0,0,0,0,0,0,0,11,8,67,8.38,0,0,0,0,0,0,7,14.7,14.7,10.7,0,85,0
26,5,1,14,23,118,1,1,11,5,0.45,0,0,0,0,0,0,0,0,0,0,0,7,7.2,8.2,8.2,0,55,0
29,16,5,0,0,0,0,0,1,9,9,0,4,3,62,20.67,0,0,0,0,0,0,7,10.1,10.1,8.6,0,114,0
30,13,11,0,0,0,0,0,0,0,0,0,12,9,94,10.44,0,1,1,0,0,0,7,16.4,17.4,11.9,0,83,0
26,16,2,0,0,0,0,0,0,0,0,0,8,6,86,14.33,0,1,1,0,0,0,7,12.6,13.6,9.6,0,87,0
24,9,0,0,0,0,0,0,11,49,4.45,0,2,2,19,9.5,0,0,0,0,0,0,7,8.8,8.8,7.8,0,115,0
25,9,1,0,0,0,0,0,0,0,0,0,11,5,67,13.4,0,0,0,0,0,0,7,11.7,11.7,9.2,0,86,0
26,15,12,0,0,0,0,0,0,0,0,0,14,8,72,9,0,0,0,0,0,0,7,15.2,15.2,11.2,0,84,0
22,15,0,0,0,0,0,0,0,0,0,0,10,6,63,10.5,0,0,0,0,0,0,6,12.3,12.3,9.3,0,166,0
24,4,2,0,0,0,0,0,0,0,0,0,8,6,61,10.17,0,0,0,0,0,0,6,12.1,12.1,9.1,0,88,0
27,12,2,0,0,0,0,0,0,0,0,0,2,1,1,1,1,0,0,1,0,0,6,7.1,7.1,6.6,0,116,0
26,14,2,0,0,0,0,0,4,0,0,0,19,7,64,9.14,0,0,0,0,0,0,6,13.4,13.4,9.9,0,165,0
24,5,0,0,0,0,0,0,0,0,0,0,5,3,61,20.33,0,1,0,0,0,0,6,9.1,9.1,7.6,0,167,0
29,5,1,0,0,0,0,0,0,0,0,0,7,6,53,8.83,0,0,0,0,0,0,5,11.3,11.3,8.3,0,169,0
25,16,10,0,0,0,0,0,0,0,0,0,8,7,48,6.86,0,0,0,0,0,0,5,11.8,11.8,8.3,0,93,0
23,8,0,0,0,0,0,0,11,47,4.27,0,3,2,1,0.5,0,0,0,0,0,0,5,6.8,6.8,5.8,0,118,0
22,8,2,0,0,0,0,0,0,0,0,0,8,5,54,10.8,0,0,0,0,0,0,5,10.4,10.4,7.9,0,168,0
24,15,4,0,0,0,0,0,0,0,0,0,7,3,45,15,0,0,0,0,0,0,5,7.5,7.5,6,0,94,0
24,15,0,0,0,0,0,0,0,0,0,0,3,1,48,48,0,0,0,0,0,0,5,5.8,5.8,5.3,0,171,0
25,8,1,0,0,0,0,0,0,0,0,0,5,4,52,13,0,0,0,0,0,0,5,9.2,9.2,7.2,0,90,0
22,3,0,20,42,187,0,2,5,39,7.8,0,0,0,0,0,0,1,1,0,0,0,5,5.4,8.4,7.4,0,57,0
24,16,1,0,0,0,0,0,0,0,0,0,9,5,48,9.6,0,0,0,0,0,0,5,9.8,9.8,7.3,0,92,0
